Increment,az1,Az1_Angle,KalAngleX1,az2,Az2_Angle,KalAngleX2
0.0,0.0,0.0,129.96636331649688,0.0,0.0,-1.1999633418745375
7.2,0.0,0.0,117.08150593750595,0.0,0.0,-1.5573816647377066
14.4,0.0,0.0,104.9860971011791,0.0,0.0,-1.8606872629749454
21.6,0.0,0.0,93.66476416880987,0.0,0.0,-2.1144586565913492
28.8,0.0,0.0,83.09882341593081,0.0,0.0,-2.3230470071918257
36.0,0.0,0.0,73.2668098612943,0.0,0.0,-2.4905747279833568
43.2,0.0,0.0,64.14496100308918,0.0,0.0,-2.620935797153332
50.4,0.0,0.0,55.70765685136316,0.0,0.0,-2.717797564392077
57.6,0.0,0.0,47.92781864671124,0.0,0.0,-2.784603856005287
64.8,0.0,0.0,40.77726864022313,0.0,0.0,-2.8245791991283586
72.0,0.0,0.0,34.22705328053563,-9766.0,-0.6230911458333334,18.338938219299727
79.2,0.0,0.0,28.24773211252261,-10014.0,-0.6389140625000002,37.95420824898015
86.4,0.0,0.0,22.809634640441118,0.0,0.0,34.901882094056624
93.60000000000001,-2664.0,-0.16996875,4.020280671689019,0.0,0.0,31.98852829852766
100.8,-12910.0,-0.8236848958333335,22.07328894055924,0.0,0.0,29.2166974092736
108.0,-13043.0,-0.8321705729166667,38.94776291889306,0.0,0.0,26.58767955494263
115.2,-13023.0,-0.8308945312500001,54.67577351997487,0.0,0.0,24.101649804035368
122.4,-13048.0,-0.8324895833333333,69.29477099005477,0.0,0.0,21.757803237468355
129.6,-13040.0,-0.8319791666666668,82.84047803984186,0.0,0.0,19.554480086846407
136.8,-13039.0,-0.8319153645833335,95.3566935817205,0.0,0.0,17.48928131335777
144.0,-13027.0,-0.8311497395833334,106.88236367016432,0.0,0.0,15.559175020482588
151.20000000000002,-13014.0,-0.8303203125000002,117.45479609843625,0.0,0.0,13.760594107112745
158.4,-13034.0,-0.8315963541666668,127.1280523335885,0.0,0.0,12.089525576724414
165.6,-13040.0,-0.8319791666666668,135.94297714030154,-2764.0,-0.17634895833333336,-3.331424344873337
172.8,5661.0,0.36118359375000003,120.98200430015632,0.0,0.0,-3.7340356392438205
